Configuration,Rule Source,Sarif Identifier,Alerts
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/debuggable-attribute-enabled,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/fragment-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/fragment-injection-preference-activity,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/implicit-pendingintents,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/implicitly-exported-component,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/insecure-local-authentication,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/intent-redirection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/intent-uri-permission-manipulation,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/unsafe-content-uri-resolution,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/android/webview-debugging-enabled,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/cleartext-storage-in-cookie,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/command-line-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/error-message-exposure,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/groovy-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/http-response-splitting,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/implicit-cast-in-compound-assignment,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/improper-intent-verification,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/improper-webview-certificate-validation,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insecure-bean-validation,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insecure-cookie,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insecure-ldap-auth,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insecure-randomness,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insecure-trustmanager,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/insufficient-key-size,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/jexl-expression-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/jhipster-prng,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/jndi-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/ldap-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/maven/dependency-upon-bintray,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/maven/non-https-url,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/missing-jwt-signature-check,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/mvel-expression-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/netty-http-request-or-response-splitting,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/ognl-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/overly-large-range,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/partial-path-traversal-from-remote,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/path-injection,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/polynomial-redos,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/predictable-seed,0
.github/workflows/workflow-cicd.yaml:build-and-codeql,codeql/java-queries (1.11.4+1a82a682e9750929a11872d8456ff91e90fc6352),java/redos,0
